,win_rate_bm,games_played_bm,games_won_bm,win_rate_last_3_bm,win_rate_last_5_bm,win_rate_last_8_bm,win_rate_last_10_bm,win_streak_3_bm,win_streak_5_bm,opp_win_rate_bm,opp_games_played_bm,opp_games_won_bm,opp_win_rate_last_3_bm,opp_win_rate_last_5_bm,opp_win_rate_last_8_bm,opp_win_rate_last_10_bm,opp_win_streak_3_bm,opp_win_streak_5_bm,team_wins
76,0.5849056603773585,53.0,31.0,0.3333333333333333,0.6,0.625,0.6,0.0,0.0,,,,,,,,,,True
77,0.5925925925925926,54.0,32.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,0.45454545454545453,33.0,15.0,0.6666666666666666,0.6,0.625,0.6,0.0,0.0,True
78,0.6,55.0,33.0,1.0,0.6,0.625,0.7,1.0,0.0,,,,,,,,,,True
79,0.6071428571428571,56.0,34.0,1.0,0.8,0.75,0.7,1.0,0.0,0.7307692307692307,52.0,38.0,1.0,0.8,0.875,0.8,1.0,0.0,True
80,0.6140350877192983,57.0,35.0,1.0,1.0,0.75,0.7,1.0,1.0,0.6597938144329897,97.0,64.0,0.6666666666666666,0.8,0.875,0.8,0.0,0.0,True
81,0.6206896551724138,58.0,36.0,1.0,1.0,0.75,0.8,1.0,1.0,0.7236842105263158,76.0,55.0,1.0,1.0,0.875,0.8,1.0,1.0,True
82,0.6271186440677966,59.0,37.0,1.0,1.0,0.875,0.8,1.0,1.0,0.6190476190476191,42.0,26.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,True
83,0.6333333333333333,60.0,38.0,1.0,1.0,1.0,0.8,1.0,1.0,0.6896551724137931,58.0,40.0,0.3333333333333333,0.4,0.5,0.5,0.0,0.0,True
84,0.639344262295082,61.0,39.0,1.0,1.0,1.0,0.9,1.0,1.0,0.8018867924528302,106.0,85.0,1.0,1.0,0.875,0.9,1.0,1.0,False
85,0.6290322580645161,62.0,39.0,0.6666666666666666,0.8,0.875,0.9,0.0,0.0,0.7,80.0,56.0,0.3333333333333333,0.4,0.625,0.7,0.0,0.0,False
86,0.6190476190476191,63.0,39.0,0.3333333333333333,0.6,0.75,0.8,0.0,0.0,,,,,,,,,,True
87,0.625,64.0,40.0,0.3333333333333333,0.6,0.75,0.8,0.0,0.0,0.6129032258064516,31.0,19.0,0.3333333333333333,0.6,0.625,0.6,0.0,0.0,True
88,0.6307692307692307,65.0,41.0,0.6666666666666666,0.6,0.75,0.8,0.0,0.0,,,,,,,,,,True
89,0.6363636363636364,66.0,42.0,1.0,0.6,0.75,0.8,1.0,0.0,0.574468085106383,47.0,27.0,0.6666666666666666,0.8,0.875,0.8,0.0,0.0,True
90,0.6417910447761194,67.0,43.0,1.0,0.8,0.75,0.8,1.0,0.0,0.7096774193548387,31.0,22.0,0.6666666666666666,0.6,0.75,0.7,0.0,0.0,True
91,0.6470588235294118,68.0,44.0,1.0,1.0,0.75,0.8,1.0,1.0,0.7126436781609196,87.0,62.0,1.0,1.0,0.75,0.7,1.0,1.0,True
92,0.6521739130434783,69.0,45.0,1.0,1.0,0.75,0.8,1.0,1.0,0.6274509803921569,51.0,32.0,1.0,1.0,0.75,0.7,1.0,1.0,False
93,0.6428571428571429,70.0,45.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,0.8151260504201681,119.0,97.0,1.0,0.8,0.875,0.9,1.0,0.0,False
94,0.6338028169014085,71.0,45.0,0.3333333333333333,0.6,0.75,0.6,0.0,0.0,0.6625,80.0,53.0,0.6666666666666666,0.6,0.75,0.8,0.0,0.0,True
95,0.6388888888888888,72.0,46.0,0.3333333333333333,0.6,0.75,0.7,0.0,0.0,0.6226415094339622,53.0,33.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,True
96,0.6438356164383562,73.0,47.0,0.6666666666666666,0.6,0.75,0.8,0.0,0.0,0.8211382113821138,123.0,101.0,1.0,1.0,0.875,0.9,1.0,1.0,False
97,0.6351351351351351,74.0,47.0,0.6666666666666666,0.4,0.625,0.7,0.0,0.0,0.6989247311827957,93.0,65.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,True
98,0.64,75.0,48.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,0.8225806451612904,124.0,102.0,1.0,1.0,1.0,0.9,1.0,1.0,False
99,0.631578947368421,76.0,48.0,0.3333333333333333,0.6,0.5,0.6,0.0,0.0,0.5416666666666666,48.0,26.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,True
100,0.6363636363636364,77.0,49.0,0.6666666666666666,0.6,0.5,0.6,0.0,0.0,0.803030303030303,66.0,53.0,1.0,1.0,0.75,0.8,1.0,1.0,True
101,0.6410256410256411,78.0,50.0,0.6666666666666666,0.6,0.625,0.6,0.0,0.0,0.8571428571428571,42.0,36.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,True
102,0.6455696202531646,79.0,51.0,1.0,0.8,0.75,0.6,1.0,0.0,0.7040816326530612,98.0,69.0,1.0,0.8,0.75,0.7,1.0,0.0,False
103,0.6375,80.0,51.0,0.6666666666666666,0.6,0.625,0.6,0.0,0.0,0.6690647482014388,139.0,93.0,0.3333333333333333,0.2,0.5,0.6,0.0,0.0,True
104,0.6419753086419753,81.0,52.0,0.6666666666666666,0.8,0.625,0.7,0.0,0.0,0.6065573770491803,61.0,37.0,0.6666666666666666,0.4,0.5,0.5,0.0,0.0,True
105,0.6463414634146342,82.0,53.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,0.625,80.0,50.0,0.6666666666666666,0.6,0.625,0.5,0.0,0.0,False
106,0.6385542168674698,83.0,53.0,0.6666666666666666,0.6,0.625,0.6,0.0,0.0,0.689922480620155,129.0,89.0,1.0,0.8,0.875,0.9,1.0,0.0,False
107,0.6309523809523809,84.0,53.0,0.3333333333333333,0.4,0.625,0.6,0.0,0.0,0.7,140.0,98.0,1.0,1.0,0.875,0.8,1.0,1.0,False
108,0.6235294117647059,85.0,53.0,0.0,0.4,0.5,0.5,0.0,0.0,0.8125,32.0,26.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,False
109,0.6162790697674418,86.0,53.0,0.0,0.2,0.375,0.5,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.25,0.2,0.0,0.0,True
110,0.6206896551724138,87.0,54.0,0.3333333333333333,0.2,0.375,0.5,0.0,0.0,,,,,,,,,,True
111,0.625,88.0,55.0,0.6666666666666666,0.4,0.5,0.5,0.0,0.0,0.7272727272727273,55.0,40.0,1.0,0.8,0.75,0.6,1.0,0.0,True
112,0.6292134831460674,89.0,56.0,1.0,0.6,0.5,0.5,1.0,0.0,0.2857142857142857,14.0,4.0,0.3333333333333333,0.4,0.25,0.3,0.0,0.0,True
113,0.6333333333333333,90.0,57.0,1.0,0.8,0.5,0.6,1.0,0.0,0.7784810126582279,158.0,123.0,1.0,1.0,0.875,0.9,1.0,1.0,False
114,0.6263736263736264,91.0,57.0,0.6666666666666666,0.8,0.5,0.5,0.0,0.0,0.6833333333333333,120.0,82.0,1.0,1.0,0.75,0.7,1.0,1.0,True
115,0.6304347826086957,92.0,58.0,0.6666666666666666,0.8,0.625,0.5,0.0,0.0,0.6428571428571429,112.0,72.0,0.3333333333333333,0.4,0.625,0.7,0.0,0.0,False
116,0.6236559139784946,93.0,58.0,0.3333333333333333,0.6,0.625,0.5,0.0,0.0,0.6630434782608695,92.0,61.0,0.3333333333333333,0.6,0.625,0.7,0.0,0.0,False
117,0.6170212765957447,94.0,58.0,0.3333333333333333,0.4,0.625,0.5,0.0,0.0,0.6296296296296297,108.0,68.0,0.0,0.0,0.25,0.4,0.0,0.0,True
118,0.6210526315789474,95.0,59.0,0.3333333333333333,0.4,0.625,0.6,0.0,0.0,,,,,,,,,,True
119,0.625,96.0,60.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,0.6568627450980392,102.0,67.0,1.0,0.8,0.625,0.6,1.0,0.0,False
120,0.6185567010309279,97.0,60.0,0.6666666666666666,0.4,0.5,0.6,0.0,0.0,0.6470588235294118,85.0,55.0,0.3333333333333333,0.6,0.5,0.4,0.0,0.0,True
121,0.6224489795918368,98.0,61.0,0.6666666666666666,0.6,0.5,0.6,0.0,0.0,0.0,1.0,0.0,,,,,,,True
122,0.6262626262626263,99.0,62.0,0.6666666666666666,0.8,0.625,0.6,0.0,0.0,,,,,,,,,,True
123,0.63,100.0,63.0,1.0,0.8,0.625,0.6,1.0,0.0,0.6521739130434783,138.0,90.0,0.6666666666666666,0.4,0.5,0.5,0.0,0.0,False
124,0.6237623762376238,101.0,63.0,0.6666666666666666,0.6,0.625,0.6,0.0,0.0,0.7922077922077922,77.0,61.0,1.0,0.8,0.75,0.7,1.0,0.0,True
125,0.6274509803921569,102.0,64.0,0.6666666666666666,0.8,0.75,0.6,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
126,0.6310679611650486,103.0,65.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,0.5645161290322581,62.0,35.0,0.6666666666666666,0.8,0.625,0.7,0.0,0.0,True
127,0.6346153846153846,104.0,66.0,1.0,0.8,0.75,0.8,1.0,0.0,0.7840909090909091,176.0,138.0,1.0,0.8,0.875,0.9,1.0,0.0,False
128,0.6285714285714286,105.0,66.0,0.6666666666666666,0.6,0.75,0.7,0.0,0.0,0.8181818181818182,11.0,9.0,1.0,1.0,0.75,0.8,1.0,1.0,True
129,0.6320754716981132,106.0,67.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,0.6551724137931034,145.0,95.0,0.6666666666666666,0.6,0.75,0.7,0.0,0.0,True
130,0.6355140186915887,107.0,68.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.6363636363636364,121.0,77.0,0.6666666666666666,0.6,0.75,0.8,0.0,0.0,True
131,0.6388888888888888,108.0,69.0,1.0,0.8,0.75,0.8,1.0,0.0,0.6705882352941176,170.0,114.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,True
132,0.6422018348623854,109.0,70.0,1.0,0.8,0.875,0.8,1.0,0.0,0.7821229050279329,179.0,140.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,False
133,0.6363636363636364,110.0,70.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,0.7764705882352941,85.0,66.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,True
134,0.6396396396396397,111.0,71.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.7142857142857143,14.0,10.0,0.3333333333333333,0.6,0.75,0.6,0.0,0.0,True
135,0.6428571428571429,112.0,72.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.7448275862068966,145.0,108.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,True
136,0.6460176991150443,113.0,73.0,1.0,0.8,0.875,0.8,1.0,0.0,0.3582089552238806,67.0,24.0,0.3333333333333333,0.4,0.375,0.4,0.0,0.0,True
137,0.6491228070175439,114.0,74.0,1.0,0.8,0.875,0.8,1.0,0.0,0.7674418604651163,43.0,33.0,0.3333333333333333,0.4,0.5,0.6,0.0,0.0,True
138,0.6521739130434783,115.0,75.0,1.0,1.0,0.875,0.9,1.0,1.0,0.7790055248618785,181.0,141.0,0.3333333333333333,0.6,0.75,0.7,0.0,0.0,False
139,0.646551724137931,116.0,75.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.6666666666666666,108.0,72.0,1.0,1.0,0.875,0.7,1.0,1.0,True
140,0.6495726495726496,117.0,76.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.7109375,128.0,91.0,0.3333333333333333,0.6,0.75,0.6,0.0,0.0,True
141,0.652542372881356,118.0,77.0,0.6666666666666666,0.8,0.875,0.8,0.0,0.0,0.7014925373134329,134.0,94.0,1.0,0.8,0.875,0.8,1.0,0.0,False
